study,seed_url,source_type,source_url,resolved_title,resolved_identifier,identifier_match,title_similarity,title_relation,metadata_status,response_sha256,checked_at,error,claim_boundary
Development of a Hand Spasticity Testing Device,https://doi.org/10.70322/ire.2026.10003,Crossref DOI record,https://api.crossref.org/works/10.70322%2Fire.2026.10003,Development of a Hand Spasticity Testing Device for Quantitative Wrist Spasticity Assessment and Automated Evaluation of the Modified Tardieu Scale,10.70322/ire.2026.10003,True,0.485,shorthand_or_alias_reviewed,verified_identifier,814b005e1eb6513ddeed14e807cfe7c57143337c813fc073d302ebbff70a1c76,2026-09-10T08:23:42.006332+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
TARGET robotic-assisted bronchoscopy study,https://doi.org/10.1016/j.chest.2025.04.022,Crossref DOI record,https://api.crossref.org/works/10.1016%2Fj.chest.2025.04.022,"A Prospective, Multicenter Evaluation of Safety and Diagnostic Outcomes With Robotic-Assisted Bronchoscopy",10.1016/j.chest.2025.04.022,True,0.463,shorthand_or_alias_reviewed,verified_identifier,8f1f2abb6e8b73f9eb365e4460ec7fad2e63a6df49a946bf51651ef9ac8547bf,2026-09-10T08:23:43.179153+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
ADOPT multicentre trial,https://doi.org/10.1093/clinchem/hvag029,Crossref DOI record,https://api.crossref.org/works/10.1093%2Fclinchem%2Fhvag029,"Performance, Safety, and Patient Experience of an Autonomous Robotic Phlebotomy Device: A Multicenter Trial",10.1093/clinchem/hvag029,True,0.346,shorthand_or_alias_reviewed,verified_identifier,c6b6ecca54620cdd460fda736e979321e65c258823508cad74edd221214c3260,2026-09-10T08:23:45.436893+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Clinical application of a fully automated blood collection robot,https://pmc.ncbi.nlm.nih.gov/articles/PMC10512411/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10512411&format=json&pageSize=1&resultType=core,Clinical application of a fully automated blood collection robot and its assessment of blood collection quality of anticoagulant specimens.,PMC10512411,True,0.634,shorthand_or_alias_reviewed,verified_identifier,6b223314ac7f09100aef09ea6dbc92dc60e84302f2d0ddb9c7b84ef28a94b451,2026-09-10T08:23:47.859967+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Comparison of swab robot versus manual collection,https://pmc.ncbi.nlm.nih.gov/articles/PMC10597818/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10597818&format=json&pageSize=1&resultType=core,"Comparison of the safety, effectiveness, and usability of swab robot vs. manual nasopharyngeal specimen collection.",PMC10597818,True,0.562,shorthand_or_alias_reviewed,verified_identifier,59866e7e071c37a075693d0b23562aa385ce3d75ffc0cb7acbb2d8db737e3231,2026-09-10T08:23:49.616985+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Autonomous swab robot for naso- and oropharyngeal screening,https://pmc.ncbi.nlm.nih.gov/articles/PMC10762007/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10762007&format=json&pageSize=1&resultType=core,Autonomous swab robot for naso- and oropharyngeal COVID-19 screening.,PMC10762007,True,0.928,exact_or_close,verified_identifier,e64106c2f22f5d665df9d1d1a794090d7300ef2ad135d2eae902d433ebb3ab47,2026-09-10T08:23:51.443230+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
A robotic biopsy endoscope with magnetic 5-DOF locomotion and retractable biopsy punch,https://pmc.ncbi.nlm.nih.gov/articles/PMC7020148/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC7020148&format=json&pageSize=1&resultType=core,A Robotic Biopsy Endoscope with Magnetic 5-DOF Locomotion and a Retractable Biopsy Punch.,PMC7020148,True,0.989,exact_or_close,verified_identifier,455aae8fef76971638532c657fec169541d1084ebc8cbec4a443355fddcfb1ca,2026-09-10T08:23:54.748025+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Ferrobotic swarms enable accessible and adaptable automated viral testing,https://pmc.ncbi.nlm.nih.gov/articles/PMC9645323/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC9645323&format=json&pageSize=1&resultType=core,Ferrobotic swarms enable accessible and adaptable automated viral testing.,PMC9645323,True,1.000,exact_or_close,verified_identifier,d5eccce8f1c4268b5c13c2785dcce502c204f114b93b504a9ae549b0cac55aef,2026-09-10T08:23:57.691194+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
All-electronic droplet generation with real-time feedback control,https://pmc.ncbi.nlm.nih.gov/articles/PMC2769494/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC2769494&format=json&pageSize=1&resultType=core,All-electronic droplet generation on-chip with real-time feedback control for EWOD digital microfluidics.,PMC2769494,True,0.769,shorthand_or_alias_reviewed,verified_identifier,2f642677f66352235a3a42c701a20bad8983700c1f77ee205102841040231c02,2026-09-10T08:23:59.616855+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
SAMPLE autonomous protein engineering,https://doi.org/10.1038/s44286-023-00002-4,Crossref DOI record,https://api.crossref.org/works/10.1038%2Fs44286-023-00002-4,Self-driving laboratories to autonomously navigate the protein fitness landscape,10.1038/s44286-023-00002-4,True,0.462,shorthand_or_alias_reviewed,verified_identifier,8c76c787af51bd2cc9715ebc5dfe1b4baf74f61bb59c42b19c0058f3ca9966ac,2026-09-10T08:24:02.202623+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Apple Heart Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8112605/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC8112605&format=json&pageSize=1&resultType=core,Large-Scale Assessment of a Smartwatch to Identify Atrial Fibrillation.,PMC8112605,True,0.276,shorthand_or_alias_reviewed,verified_identifier,064a42027ae93d1338648227be12381b9dfaa2757b04af76e03eb426ef891068,2026-09-10T08:24:04.222009+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
AI-enabled detection using nocturnal breathing,https://doi.org/10.1038/s41591-022-01932-x,Crossref DOI record,https://api.crossref.org/works/10.1038%2Fs41591-022-01932-x,Artificial intelligence-enabled detection and assessment of Parkinson’s disease using nocturnal breathing signals,10.1038/s41591-022-01932-x,True,0.579,shorthand_or_alias_reviewed,verified_identifier,7bd4ad45be046f47bc4465214d1fe155c7ac7f35adc7fe243d67daccb95663d0,2026-09-10T08:24:06.566745+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
DETECT-AHEAD,https://pmc.ncbi.nlm.nih.gov/articles/PMC11296689/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC11296689&format=json&pageSize=1&resultType=core,"Feasibility of wearable sensor signals and self-reported symptoms to prompt at-home testing for acute respiratory viruses in the USA (DETECT-AHEAD): a decentralised, randomised controlled trial.",PMC11296689,True,0.119,shorthand_or_alias_reviewed,verified_identifier,31a90071b4a6ee974ef748c5768e282f547b6392b64e248e95a98108ec0127b5,2026-09-10T08:24:08.597338+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Pre-symptomatic detection from smartwatch data,https://doi.org/10.1038/s41551-020-00640-6,Crossref DOI record,https://api.crossref.org/works/10.1038%2Fs41551-020-00640-6,Pre-symptomatic detection of COVID-19 from smartwatch data,10.1038/s41551-020-00640-6,True,0.885,exact_or_close,verified_identifier,af94f149d1a3aa5cf32a108d80bbcb37d06bd811ee9d5792982fc373092a2a5b,2026-09-10T08:24:10.383207+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
