primary_task_code,primary_task_cn,primary_task_en,public_visible_unique_title_candidates,public_available_location_identified,public_available_share,since_2021,status
T1,超声检查与主动扫查,Ultrasound examination and active scanning,341,149,0.437,236,deterministic title-level reclassification; manual full-text screening pending
T2,胃肠柔性内镜巡检,Flexible gastrointestinal endoscopic inspection,80,40,0.5,36,deterministic title-level reclassification; manual full-text screening pending
T3,主动或磁控胶囊内镜,Active or magnetically controlled capsule endoscopy,237,117,0.4937,94,deterministic title-level reclassification; manual full-text screening pending
T4,支气管镜观察与导航,Bronchoscopic observation and navigation,91,32,0.3516,83,deterministic title-level reclassification; manual full-text screening pending
T5,眼科主动对准与成像,Actively aligned ophthalmic examination,27,14,0.5185,20,deterministic title-level reclassification; manual full-text screening pending
T6,皮肤、创面与暴露组织表面测绘,"Skin, wound and exposed-tissue surface mapping",14,6,0.4286,13,deterministic title-level reclassification; manual full-text screening pending
T7,主动听诊与声学检查,Active auscultation and acoustic examination,13,5,0.3846,11,deterministic title-level reclassification; manual full-text screening pending
T8,耳鼻咽喉与口腔腔道检查,ENT and oral-cavity examination,4,1,0.25,2,deterministic title-level reclassification; manual full-text screening pending
T9,通用主动扫描技术平台,Generic active-scanning technology platform,27,14,0.5185,21,deterministic title-level reclassification; manual full-text screening pending
